 numero_reimpresiones, puntos_vta1anio_total, materia3, tirada, ejemplares_distribuidos_en_novedad, obsequios, pvp, reimpresiones, editorial, materia2, encuadernacion, venta_total, semanas_venta, coleccion, puntos_vta_total, materia1
67,51,,1074,153,0,   11.54,7,UDLW06,,2,183,142,UDLW06001,77,93
40,57,,1047,163,0,   11.54,5,UDLW06,,2,248,142,UDLW06001,81,93
0,51,,710,355,7,   17.12,0,UDLW04,,3,40,54,UDLW04004,51,153
0,130,,500,356,7,    8.17,0,UDLW04,,4,78,59,UDLW04003,131,121
0,62,,600,285,7,    7.69,0,UDLW04,,4,107,85,UDLW04003,66,121
0,148,,500,416,7,   19.23,0,UDLW04,,3,183,59,UDLW04002,149,131
0,64,,600,319,7,   19.09,0,UDLW04,,3,66,81,UDLW04002,66,131
0,105,,1400,606,7,   19.23,0,UDLW04,,3,198,92,UDLW04002,112,131
8,82,,1400,550,7,   14.42,1,UDLW04,,3,175,93,UDLW04002,84,131
0,82,,1825,665,6,   13.94,0,UDLW04,,3,326,139,UDLW04002,91,33
0,210,,2012,1085,7,   23.99,0,UDLW04,,3,299,144,UDLW04002,219,33
0,140,,2025,845,6,   19.18,0,UDLW04,,3,107,144,UDLW04002,144,33
0,145,,2025,892,6,   18.75,0,UDLW04,,3,110,144,UDLW04002,151,33
2825,104,,4850,1323,6,    7.21,1,UDLW04,,3,85,142,UDLW04001,107,33
0,102,,1312,575,7,   22.02,0,UDLW03,,3,91,62,UDLW03004,104,111
15,61,,665,314,6,   16.35,1,UDLW03,,3,36,133,UDLW03003,64,111
0,79,,825,331,6,   14.71,0,UDLW03,,3,47,143,UDLW03002,82,112
0,212,,1825,860,6,   23.08,0,UDLW03,,3,1145,147,UDLW03001,244,112
42,94,,943,1005,0,    5.72,1,UDLW02,,3,339,63,UDLW02004,137,
0,252,,1455,928,6,   27.84,0,UDLW02,,3,307,112,UDLW02003,258,119
0,136,,1468,764,8,   19.18,0,UDLW02,,3,37,114,UDLW02001,138,112
0,130,,899,564,7,   19.23,0,UDLW01,,3,124,95,UDLW01003,130,112
0,184,,900,678,8,   13.46,0,UDLW01,,3,104,107,UDLW01003,187,111
0,52,,690,258,7,   16.35,0,UDLW01,,3,128,75,UDLW01002,53,111
